Id,Release_Date,Title,Vote_Average,Original_Language,Genre
174,2022-02-11,Love and Leashes,6.3,ko,"Romance, Comedy"
175,2019-04-11,After,7.2,en,"Romance, Drama"
176,2021-06-30,The Forever Purge,7.3,en,"Horror, Action, Thriller"
177,2022-02-11,Tall Girl 2,6,en,"Comedy, Drama, Romance"
178,2022-02-17,Dog,8.3,en,"Drama, Comedy"
179,2007-12-12,I Am Legend,7.2,en,"Drama, Science Fiction, Thriller"
180,2007-08-04,Naruto Shippuden the Movie,7.2,ja,"Animation, Action, Fantasy"
181,2021-02-10,Tom & Jerry,7,en,"Comedy, Family, Animation"
182,2022-02-10,Against the Ice,7,en,"Adventure, History, Drama"
183,2021-08-12,An Egg Rescue,8.1,es,"Animation, Comedy"
184,2005-11-16,Harry Potter and the Goblet of Fire,7.8,en,"Adventure, Fantasy, Family"
185,2021-02-11,Pretty Guardian Sailor Moon Eternal The Movie Part 2,8.1,ja,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Romance"
186,2021-07-29,Demonic,4.8,en,"Horror, Thriller"
187,2021-11-24,Far From the Tree,8.1,en,"Animation, Family"
188,2020-07-09,Black Water: Abyss,5.1,en,"Horror, Thriller, Adventure, Mystery"
189,2020-12-11,"Yes, No, or Maybe Half?",6.7,ja,"Animation, Drama, Romance"
190,2020-08-14,The SpongeBob Movie: Sponge on the Run,7.6,en,"Family, Animation, Fantasy, Adventure, Comedy"
191,2018-12-06,Spider-Man: Into the Spider-Verse,8.4,en,"Action, Adventure, Animation, Science Fiction"
192,2004-05-31,Harry Potter and the Prisoner of Azkaban,8,en,"Adventure, Fantasy"
193,2021-03-03,The Vault,7.1,en,"Crime, Action, Thriller"
194,2022-03-09,The Adam Project,6,en,"Science Fiction, Adventure, Comedy"
195,2016-02-09,Deadpool,7.6,en,"Action, Adventure, Comedy"
196,2021-10-22,The Harder They Fall,6.7,en,Western
197,2001-11-01,"Monsters, Inc.",7.8,en,"Animation, Comedy, Family"
198,2021-02-09,Ainbo: Spirit of the Amazon,7.1,en,"Adventure, Animation, Family, Fantasy"
199,2021-12-07,Don't Look Up,7.2,en,"Comedy, Drama, Science Fiction"
200,2017-06-15,Cars 3,6.8,en,"Animation, Adventure, Comedy, Family"
201,2007-05-01,Spider-Man 3,6.3,en,"Fantasy, Action, Adventure"
202,2021-12-03,Last Shoot Out,6.4,en,"Western, Action, Thriller"
203,2019-07-21,Sator,5.4,en,Horror
204,2010-04-28,Iron Man 2,6.8,en,"Adventure, Action, Science Fiction"
205,2020-12-25,Soul,8.2,en,"Animation, Comedy, Fantasy, Family"
206,2011-05-14,Pirates of the Caribbean: On Stranger Tides,6.5,en,"Adventure, Action, Fantasy"
207,2021-02-28,Phobias,5.4,en,"Horror, Thriller"
208,2021-05-21,A Quiet Place Part II,7.6,en,"Science Fiction, Thriller, Horror"
209,1972-10-14,What the Peeper Saw,5.7,it,"Horror, Drama, Thriller"
210,2023-04-06,Fast & Furious 10,0,en,"Action, Crime"
211,2012-07-16,The Dark Knight Rises,7.8,en,"Action, Crime, Drama, Thriller"
212,2021-11-26,Trolls Holiday in Harmony,7.6,en,"Animation, Fantasy, Family"
213,2016-03-23,Batman v Superman: Dawn of Justice,5.9,en,"Action, Adventure, Fantasy"
214,2021-09-01,Motherly,7.2,en,"Thriller, Horror"
215,2021-03-18,Nobody,8.2,en,"Action, Crime, Thriller"
216,2018-08-03,My Hero Academia: Two Heroes,8,ja,"Animation, Action, Adventure, Fantasy"
217,2009-07-07,Harry Potter and the Half-Blood Prince,7.7,en,"Adventure, Fantasy"
218,2022-01-06,Book of Love,5.3,en,"Comedy, Romance"
219,2021-08-26,Jurassic Hunt,5,en,"Action, Science Fiction, Thriller"
220,2021-12-25,American Underdog,7.2,en,Drama
221,2008-07-14,The Dark Knight,8.5,en,"Drama, Action, Crime, Thriller"
222,2021-02-24,Jujutsu Kaisen 0,7.8,ja,"Animation, Action, Adventure, Mystery"
223,2020-07-02,Ava,5.7,en,"Action, Crime, Drama, Thriller"
224,2010-12-03,Three Steps Above Heaven,7.8,es,"Romance, Drama"
225,2021-08-11,Sinkhole,7.1,ko,"Comedy, Drama"
226,2010-05-22,Undisputed III: Redemption,7.5,en,"Action, Thriller"
227,1995-10-30,Toy Story,8,en,"Animation, Adventure, Family, Comedy"
228,2020-10-25,Roald Dahl's The Witches,6.5,en,"Family, Fantasy, Adventure, Comedy, Horror"
229,2021-12-25,El Paseo 6,3.5,es,Comedy
230,2021-04-30,Separation,5.7,en,"Horror, Drama"
231,2022-04-22,Dragon Ball Super: Super Hero,0,ja,"Animation, Science Fiction, Action"
232,2022-08-25,After Ever Happy,0,en,Romance
233,2009-01-22,Brothers,7.1,en,"Drama, Thriller, War"
234,2001-05-18,Shrek,7.7,en,"Animation, Comedy, Fantasy, Adventure, Family"
235,2022-02-01,Jackass Forever,7.1,en,"Action, Comedy, Documentary"
236,2014-10-24,Big Hero 6,7.8,en,"Adventure, Family, Animation, Action, Comedy"
237,2021-04-02,Monster Pets: A Hotel Transylvania Short,7.5,en,"Animation, Comedy, Fantasy"
238,2015-03-03,Off Course,6.2,es,"Romance, Comedy"
239,2014-12-10,The Hobbit: The Battle of the Five Armies,7.3,en,"Action, Adventure, Fantasy"
240,2021-04-01,Major Grom: Plague Doctor,6.8,ru,"Action, Adventure"
241,2021-01-13,Monster Family 2,7.1,en,"Animation, Family"
242,2021-07-14,Gunpowder Milkshake,6.4,en,"Action, Crime, Thriller"
243,1986-01-18,Beautiful Sisters: Flesh Slave,4,ja,"Crime, Horror"
244,2021-01-22,Narco Sub,6.7,en,"Action, Drama, Crime"
245,2007-06-28,Harry Potter and the Order of the Phoenix,7.7,en,"Adventure, Fantasy, Mystery"
246,2015-09-09,Legend,6.9,en,"Crime, Thriller"
247,2021-09-14,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,8.2,en,"Animation, Comedy, Mystery, Family, Fantasy"
248,2021-08-13,Descendants: The Royal Wedding,7,en,"TV Movie, Animation, Comedy, Family, Drama"
249,2019-11-20,Frozen II,7.3,en,"Family, Animation, Adventure, Comedy, Fantasy"
250,2021-08-13,Swim,7.5,en,"Horror, Action"
251,2021-08-27,Mutation on Mars,6.6,zh,"Drama, Science Fiction"
252,2021-09-03,Zone 414,5.5,en,"Science Fiction, Thriller, Mystery"
253,2011-07-07,Harry Potter and the Deathly Hallows: Part 2,8.1,en,"Fantasy, Adventure"
254,2015-04-22,Avengers: Age of Ultron,7.3,en,"Action, Adventure, Science Fiction"
255,2017-10-24,Thor: Ragnarok,7.6,en,"Action, Adventure, Fantasy, Science Fiction"
256,2019-09-04,It Chapter Two,6.9,en,"Horror, Fantasy"
257,1994-06-23,The Lion King,8.3,en,"Family, Animation, Drama"
258,2021-11-18,King Richard,8,en,"Drama, History"
259,2021-10-21,Last Night in Soho,7.5,en,"Thriller, Horror, Mystery"
260,1992-06-19,Batman Returns,6.9,en,"Action, Fantasy"
261,2010-06-23,The Twilight Saga: Eclipse,6.2,en,"Adventure, Fantasy, Drama, Romance"
262,2021-09-03,Wild Indian,6.4,en,"Crime, Drama, Thriller"
263,2012-03-01,Project X,6.8,en,Comedy
264,2021-08-19,The Protégé,6.6,en,Action
265,2021-11-05,Ida Red,5.9,en,"Crime, Thriller, Drama, Action"
266,2013-01-14,The Haunting of Helena,5.6,en,"Horror, Thriller"
267,2020-09-30,Vanguard,6.3,zh,"Action, Adventure, Crime"
268,2003-07-09,Pirates of the Caribbean: The Curse of the Black Pearl,7.8,en,"Adventure, Fantasy, Action"
269,2021-07-07,"The Simpsons: The Good, the Bart, and the Loki",7.5,en,"Animation, Comedy, Family"
270,2021-01-15,The Marksman,7,en,"Action, Thriller, Crime"
271,2021-12-15,Vicky and Her Mystery,7.3,fr,"Adventure, Family, Drama"
272,2019-08-30,KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson,8.4,ja,"Animation, Adventure, Comedy, Fantasy"
273,2021-10-22,7 Prisoners,7.1,pt,"Drama, Crime"
274,2022-02-23,11M,6.5,es,Documentary
275,2021-04-12,Seobok: Project Clone,7.6,ko,"Science Fiction, Action"
276,2004-05-19,Shrek 2,7.2,en,"Animation, Family, Comedy, Fantasy, Adventure"
277,2010-02-01,Percy Jackson & the Olympians: The Lightning Thief,6.2,en,"Adventure, Fantasy, Family"
278,2016-08-26,Your Name.,8.5,ja,"Romance, Animation, Drama"
279,2021-12-17,Chief Daddy 2: Going for Broke,5.9,en,Comedy
280,2016-04-27,Captain America: Civil War,7.4,en,"Adventure, Action, Science Fiction"
281,2019-10-02,Joker,8.2,en,"Crime, Thriller, Drama"
282,2012-12-20,Jack Reacher,6.6,en,"Crime, Drama, Thriller, Action"
283,2022-03-04,The Invisible Thread,6.7,it,"Comedy, Drama"
284,2021-08-11,SAS: Red Notice,5.9,en,"Drama, Action, Thriller"
285,2020-09-04,Mulan,7,en,"Adventure, Fantasy, Drama"
286,2022-02-10,I Want You Back,6.1,en,"Comedy, Romance"
287,2006-07-06,Pirates of the Caribbean: Dead Man's Chest,7.3,en,"Adventure, Fantasy, Action"
288,2009-09-29,Ninja Assassin,6.5,en,Action
